totaldeath,criticalcases,name,totaltests,totaltestsOver1M,newcases,totalrecovered,newdeath,activecases,totalcases
"33,405 ","13,516",USA,"3,295,916","9,957","+5,249","56,618",+817,"563,374","653,397"
"19,130 ","7,371",Spain,"930,230","19,896","+2,157","74,797",+318,"88,889","182,816"
"22,170 ","2,936",Italy,"1,178,403","19,490","+3,786","40,164",+525,"106,607","168,941"
"17,167 ","6,457",France,"333,807","5,114",,"30,955",,"99,741","147,863"
"3,867 ","4,288",Germany,"1,728,357","20,629",+910,"77,000",+63,"54,796","135,663"
"13,729 ","1,559",UK,"417,649","6,152","+4,617",N/A,+861,"89,020","103,093"
"4,869 ","3,594",Iran,"310,340","3,695","+1,606","52,229",+92,"20,897","77,995"
"1,518 ","1,820",Turkey,"477,716","5,664",,"5,674",,"62,200","69,392"
"4,857 ","1,182",Belgium,"134,303","11,588","+1,236","7,562",+417,"22,390","34,809"
"3,315 ","1,279",Netherlands,"147,948","8,634","+1,061",250,+181,"25,649","29,214"
"1,764 ","6,634",Brazil,"62,985",296,+555,"14,026",+7,"13,375","29,165"
"1,048 ",557,Canada,"467,736","12,393",+514,"9,271",+38,"18,574","28,893"
232 ,8,Russia,"1,613,413","11,056","+3,448","2,304",+34,"25,402","27,938"
"1,281 ",386,Switzerland,"206,400","23,849",+396,"15,400",+42,"10,051","26,732"
629 ,229,Portugal,"208,314","20,430",+750,493,+30,"17,719","18,841"
393 ,232,Austria,"162,816","18,078",+112,"8,986",,"5,083","14,462"
423 ,,India,"274,599",199,+389,"1,514",+1,"10,822","12,759"
140 ,174,Israel,"187,250","21,634",+90,"2,624",+10,"9,827","12,591"
444 ,158,Ireland,"90,646","18,358",,77,,"12,026","12,547"
"1,333 ",996,Sweden,"74,600","7,387",+613,550,+130,"10,657","12,540"
254 ,146,Peru,"109,385","3,318",,"3,108",,"8,113","11,475"
229 ,55,S. Korea,"538,775","10,509",+22,"7,757",+4,"2,627","10,613"
105 ,384,Chile,"98,424","5,149",+534,"3,299",+11,"5,403","8,807"
178 ,168,Japan,"94,236",745,,901,,"7,547","8,626"
403 ,168,Ecuador,"27,868","1,580",+367,838,+15,"6,984","8,225"
314 ,160,Poland,"169,071","4,467",+336,774,+28,"6,830","7,918"
392 ,243,Romania,"79,629","4,139",+491,"1,357",+20,"5,958","7,707"
128 ,46,Pakistan,"78,979",358,+536,"1,645",+17,"5,146","6,919"
321 ,92,Denmark,"82,380","14,223",+198,"3,023",+12,"3,535","6,879"
152 ,64,Norway,"130,216","24,020",+51,32,+2,"6,664","6,848"
63 ,66,Australia,"380,003","14,902",+21,"3,747",,"2,658","6,468"
83 ,71,Saudi Arabia,"150,000","4,309",+518,990,+4,"5,307","6,380"
169 ,75,Czechia,"146,004","13,634",+58,972,+3,"5,218","6,359"
449 ,207,Mexico,"40,091",311,+448,"2,125",+43,"3,273","5,847"
362 ,1,Philippines,"48,171",440,+207,435,+13,"4,863","5,660"
496 ,,Indonesia,"36,000",132,+380,548,+27,"4,472","5,516"
33 ,1,UAE,"767,000","77,550",,"1,034",,"4,298","5,365"
103 ,120,Serbia,"29,472","3,373",+445,443,+4,"4,772","5,318"
84 ,56,Malaysia,"87,183","2,694",+110,"2,766",+1,"2,332","5,182"
10 ,29,Singapore,"72,680","12,423",+728,683,,"3,734","4,427"
40 ,65,Belarus,"81,246","8,598",+476,203,+4,"3,961","4,204"
116 ,45,Ukraine,"42,823",979,+397,186,+8,"3,859","4,161"
7 ,37,Qatar,"56,381","19,570",+392,415,,"3,681","4,103"
196 ,143,Dominican Republic,"12,229","1,127",+141,215,+7,"3,344","3,755"
103 ,106,Panama,"16,854","3,906",,75,,"3,573","3,751"
69 ,33,Luxembourg,"30,723","49,080",,526,,"2,778","3,373"
75 ,76,Finland,"49,700","8,970",+132,"1,700",+3,"1,594","3,369"
131 ,106,Colombia,"48,628",956,,452,,"2,522","3,105"
46 ,61,Thailand,"100,498","1,440",+29,"1,593",+3,"1,033","2,672"
115 ,121,Argentina,"26,457",585,,631,+3,"1,825","2,571"
34 ,7,South Africa,"90,515","1,526",,410,,"2,062","2,506"
183 ,,Egypt,"25,000",244,,589,,"1,733","2,505"
348 ,60,Algeria,"3,359",77,+108,783,+12,"1,137","2,268"
128 ,1,Morocco,"11,433",310,+227,247,+1,"1,876","2,251"
105 ,69,Greece,"50,771","4,871",+15,269,+3,"1,833","2,207"
53 ,80,Moldova,"9,208","2,283",+105,235,+7,"1,866","2,154"
35 ,31,Croatia,"20,158","4,910",+50,529,+2,"1,227","1,791"
8 ,8,Iceland,"37,386","109,558",,"1,077",,642,"1,727"
7 ,3,Bahrain,"76,630","45,035",+29,703,,990,"1,700"
142 ,60,Hungary,"38,489","3,984",+73,199,+8,"1,311","1,652"
60 ,1,Bangladesh,"17,003",103,+341,49,+10,"1,463","1,572"
